Código,Ação,Tipo,Qtde. Teórica,Part. (%),Data
ABEV3,AMBEV S/A,ON ED,4394835131,2.82,2025-03-19
ASAI3,ASSAI,ON NM,1345832968,0.481,2025-03-19
AURE3,AUREN,ON NM,323738747,0.12,2025-03-19
AMOB3,AUTOMOB,ON NM,533959816,0.007,2025-03-19
AZUL4,AZUL,PN N2,326872005,0.058,2025-03-19
AZZA3,AZZAS 2154,ON NM,136643320,0.149,2025-03-19
B3SA3,B3,ON NM,5392540963,3.075,2025-03-19
BBSE3,BBSEGURIDADE,ON NM,637332335,1.219,2025-03-19
BBDC3,BRADESCO,ON N1,1484426957,0.789,2025-03-19
BBDC4,BRADESCO,PN N1,5129958973,2.988,2025-03-19
BRAP4,BRADESPAR,PN N1,250969312,0.212,2025-03-19
BBAS3,BRASIL,ON EX NM,2842613858,3.836,2025-03-19
BRKM5,BRASKEM,PNA N1,265388400,0.141,2025-03-19
BRAV3,BRAVA,ON NM,460791208,0.402,2025-03-19
BRFS3,BRF SA,ON NM,814523002,0.758,2025-03-19
BPAC11,BTGP BANCO,UNT N2,1287247964,2.168,2025-03-19
CXSE3,CAIXA SEGURI,ON NM,517500000,0.384,2025-03-19
CRFB3,CARREFOUR BR,ON NM,532664283,0.187,2025-03-19
CCRO3,CCR SA,ON NM,991920937,0.563,2025-03-19
COGN3,COGNA ON,ON NM,1872454628,0.162,2025-03-19
CPLE6,COPEL,PNB N2,1679233590,0.828,2025-03-19
CSAN3,COSAN,ON NM,1150987430,0.419,2025-03-19
CPFE3,CPFL ENERGIA,ON NM,187732538,0.338,2025-03-19
CMIN3,CSNMINERACAO,ON N2,1646519336,0.487,2025-03-19
CVCB3,CVC BRASIL,ON NM,525591097,0.049,2025-03-19
CYRE3,CYRELA REALT,ON NM,273755006,0.304,2025-03-19
ELET3,ELETROBRAS,ON N1,1977170723,3.807,2025-03-19
ELET6,ELETROBRAS,PNB N1,268875696,0.564,2025-03-19
EMBR3,EMBRAER,ON NM,734631801,2.714,2025-03-19
ENGI11,ENERGISA,UNT N2,326175300,0.642,2025-03-19
ENEV3,ENEVA,ON NM,1929556616,1.15,2025-03-19
EGIE3,ENGIE BRASIL,ON NM,255236938,0.467,2025-03-19
EQTL3,EQUATORIAL,ON NM,1253541010,1.936,2025-03-19
FLRY3,FLEURY,ON NM,455988366,0.251,2025-03-19
GGBR4,GERDAU,PN N1,1242683687,1.013,2025-03-19
GOAU4,GERDAU MET,PN N1,649238303,0.291,2025-03-19
NTCO3,GRUPO NATURA,ON NM,850935197,0.383,2025-03-19
HAPV3,HAPVIDA,ON NM,4779395040,0.534,2025-03-19
IGTI11,IGUATEMI S.A,UNT N1,211783588,0.19,2025-03-19
IRBR3,IRBBRASIL RE,ON NM,81838243,0.187,2025-03-19
ISAE4,ISA ENERGIA,PN EJ N1,395801044,0.431,2025-03-19
ITSA4,ITAUSA,PN N1,5857796242,2.657,2025-03-19
ITUB4,ITAUUNIBANCO,PN EB N1,5272192664,8.064,2025-03-19
JBSS3,JBS,ON NM,1145962972,2.095,2025-03-19
KLBN11,KLABIN S/A,UNT N2,765785673,0.721,2025-03-19
RENT3,LOCALIZA,ON NM,965986531,1.505,2025-03-19
LREN3,LOJAS RENNER,ON NM,1051120777,0.614,2025-03-19
LWSA3,LWSA,ON NM,389635155,0.048,2025-03-19
MGLU3,MAGAZ LUIZA,ON NM,353448195,0.168,2025-03-19
POMO4,MARCOPOLO,PN N2,666378439,0.216,2025-03-19
MRFG3,MARFRIG,ON NM,302019876,0.226,2025-03-19
BEEF3,MINERVA,ON NM,261359935,0.068,2025-03-19
MRVE3,MRV,ON NM,377241484,0.092,2025-03-19
MULT3,MULTIPLAN,ON N2,314150156,0.346,2025-03-19
PCAR3,P.ACUCAR-CBD,ON NM,462534972,0.055,2025-03-19
PETR3,PETROBRAS,ON N2,2255782178,4.201,2025-03-19
PETR4,PETROBRAS,PN ATZ N2,4431132660,7.594,2025-03-19
PRIO3,PETRORIO,ON NM,779999989,1.465,2025-03-19
PETZ3,PETZ,ON NM,293689428,0.064,2025-03-19
PSSA3,PORTO SEGURO,ON NM,182560698,0.349,2025-03-19
